aluno	rede	escola	turma	port	sexo
1	1	31034274	1	687.74	1
2	1	31034274	1	687.74	1
3	1	31034274	1	561.95	1
4	1	31034274	1	687.74	1
5	1	31034274	1	543.53	1
6	1	31034274	1	603.39	1
7	1	31034274	1	603.39	1
8	1	31034274	1	603.78	1
9	1	31034274	1	578.67	1
10	1	31034274	1	496.26	1
11	1	31034274	2	498.08	1
12	1	31034274	2	518.56	1
13	1	31034274	2	562.87	1
14	1	31034274	2	603.39	1
15	1	31034274	2	531.5	1
16	1	31034274	2	547.54	1
17	1	31034274	2	470.26	1
18	1	31034274	2	463.86	1
19	1	31034274	2	637.83	1
20	1	31034274	2	595.46	2
21	1	31034274	2	554.83	2
22	1	31034274	2	574.02	2
23	1	31034274	2	637.83	2
24	1	31034274	2	501.83	2
25	1	31034835	3	528.77	2
26	1	31034835	3	450.96	2
27	1	31034835	3	552.54	2
28	1	31034835	3	652.71	2
29	1	31034835	3	455.05	2
30	1	31034835	3	655.69	2
31	1	31034835	3	603.51	2
32	1	31034835	3	459.2	2
33	1	31034835	3	569.31	2
34	1	31034835	3	566.19	2
35	1	31034835	3	454.95	2
36	1	31034835	3	379.18	2
37	1	31034835	3	503.04	2
38	1	31034835	3	406.99	2
39	1	31034835	4	406.23	2
40	1	31034835	4	370.28	1
41	1	31034835	4	360.84	1
42	1	31034835	4	405.7	1
43	1	31034835	4	405.7	1
44	1	31034835	4	394.05	1
45	1	31034835	4	407.89	1
46	1	31062588	5	414.45	1
47	1	31062588	5	522.28	1
48	1	31062588	5	523.45	1
49	1	31062588	5	539.85	1
50	1	31062588	5	341.97	1
51	1	31062588	5	350.71	1
52	1	31062588	5	447.53	1
53	1	31062588	5	353.99	1
54	1	31062588	5	330.93	1
55	1	31062588	5	347.97	1
56	1	31062588	6	362.91	1
57	1	31062588	6	377.51	1
58	1	31062588	6	392.55	1
59	1	31062588	6	302.71	2
60	1	31062588	6	290.17	2
61	1	31062588	6	566.24	2
62	1	31062588	6	593.59	2
63	1	31062588	6	616.13	2
64	1	31063274	7	460.39	2
65	1	31063274	7	525.03	2
66	1	31063274	7	540.78	2
67	1	31063274	7	540.78	2
68	1	31063274	7	507.19	2
69	1	31063274	7	545.86	2
70	1	31063274	7	488.95	2
